Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0053088,6.039E-05,0.20369,0,0,0,10.782,0.080479,0.00020744,0.0029973,0.062246,3.4096E-05,0.13176,0,0,0,0,0,0,package://car2/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://car2/meshes/base_link.STL,,底盘架子-1,坐标系26,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
castwheel,-0.063618,0.0087179,-0.089187,0,0,0,8.9511,0.030635,0,0,0.030635,0,0.030635,0,0,0,0,0,0,package://car2/meshes/castwheel.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://car2/meshes/castwheel.STL,,全向轮-1,Origin_castwheel4,Axis_castwheel4,castwheel_joint,continuous,0,-0.0012501,0.0925,1.7999,-0.42435,0.8825,base_link,0.57888,-0.079328,0.81154,,,,,,,,,,,,
leftwheel,6.245E-17,3.8164E-17,0.024994,0,0,0,9.4472,0.05564,0,0,0.05564,0,0.10734,0,0,0,0,0,0,package://car2/meshes/leftwheel.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://car2/meshes/leftwheel.STL,,轮子-2,Origin_leftwheel2,基准轴1,leftwheel_joint,continuous,0.057271,-0.19937,0.15,-1.5708,-0.10501,-3.1302,base_link,0,0,1,,,,,,,,,,,,
rightwheel,-4.1633E-17,8.3267E-17,-0.024994,0,0,0,9.4472,0.05564,0,0,0.05564,0,0.10734,0,0,0,0,0,0,package://car2/meshes/rightwheel.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://car2/meshes/rightwheel.STL,,轮子-1,Origin_rightwheel4,基准轴1,rightwheel_joint,continuous,0.052721,0.20062,0.15,-1.5708,0.93928,-3.1302,base_link,0,0,1,,,,,,,,,,,,
link1,0.020977,1.0815E-17,0.15,0,0,0,7.0138,0.07535,0,0,0.065314,0,0.035458,0,0,0,0,0,0,package://car2/meshes/link1.STL,1,1,1,0.35,0,0,0,0,0,0,package://car2/meshes/link1.STL,,根部旋转关节-1,坐标系2,基准轴7,joint1,revolute,0,0,0.235,0,0,0.011375,base_link,0,0,1,50,1.5,-3.14,3.14,,,,,,,,
link2,-0.13517,2.2454E-16,0,0,0,0,1.2926,0.0033047,0,0,0.012724,0,0.012724,0,0,0,0,0,0,package://car2/meshes/link2.STL,1,1,1,0.35,0,0,0,0,0,0,package://car2/meshes/link2.STL,,手臂1-1,坐标系20,基准轴7,joint2,prismatic,0,0,0.25,0,0,0,link1,0,0,1,10,1.5,-0.2,0,,,,,,,,
link3,0.094255,1.4008E-16,1.6653E-16,0,0,0,2.2879,0.0027483,0,0,0.022648,0,0.02234,0,0,0,0,0,0,package://car2/meshes/link3.STL,1,1,1,0.35,0,0,0,0,0,0,package://car2/meshes/link3.STL,,手臂2-1,坐标系19,基准轴3,joint3,prismatic,-0.3,0,0,0,0,0,link2,1,0,0,10,1.5,-0.26,0,,,,,,,,
link4,-0.076653,5.6379E-17,0,0,0,0,2.5617,0.0037141,0,0,0.023523,0,0.022599,0,0,0,0,0,0,package://car2/meshes/link4.STL,1,1,1,0.35,0,0,0,0,0,0,package://car2/meshes/link4.STL,,关节+手臂3-1,坐标系21,基准轴4,joint4,revolute,-0.1216,0,0,0,0,0,link3,0,-1,0,50,1.5,-1.57,1.57,,,,,,,,
link5,-0.023312,3.6429E-17,1.6653E-16,0,0,0,1.7726,0.0086712,0,0,0.0047611,1.3921E-06,0.0050018,0,0,0,0,0,0,package://car2/meshes/link5.STL,1,1,1,0.35,0,0,0,0,0,0,package://car2/meshes/link5.STL,,末端关节-1,坐标系22,基准轴5,joint5,revolute,-0.25745,0,0,0,0,0,link4,-1,0,0,50,1.5,-3.14,3.14,,,,,,,,
finger1,-0.043191,-0.0022229,1.6653E-16,0,0,0,0.097614,3.3639E-05,-1.209E-05,0,0.0001198,0,0.00011277,0,0,0,0,0,0,package://car2/meshes/finger1.STL,1,1,1,0.35,0,0,0,0,0,0,package://car2/meshes/finger1.STL,,手指-1,坐标系23,基准轴6,fin1,prismatic,-0.05,0.076716,-0.00044365,-0.0057829,0,0,link5,0,0.99998,0.0057829,30,1,-0.05,0,,,,,,,,
finger2,-0.043191,0.0022229,2.1094E-15,0,0,0,0.097614,3.3639E-05,1.209E-05,0,0.0001198,0,0.00011277,0,0,0,0,0,0,package://car2/meshes/finger2.STL,1,1,1,0.35,0,0,0,0,0,0,package://car2/meshes/finger2.STL,,手指-2,坐标系25,基准轴6,fin2,prismatic,-0.05,-0.077005,0.00044532,-0.0057829,0,0,link5,0,0.99998,0.0057829,30,1,0,0.05,,,,,,,,
